adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/zOpe0eHsq0A2NvNyBbtT6sj53qV.jpg,"[28, 878, 35, 10751]",939243,en,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",5790.376,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,2024-12-19,Sonic the Hedgehog 3,False,7.85,1139
False,/v9Du2HC3hlknAvGlWhquRbeifwW.jpg,"[28, 878, 12, 14, 53]",539972,en,Kraven the Hunter,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",3006.227,/i47IUSsN126K11JUzqQIOi1Mg1M.jpg,2024-12-11,Kraven the Hunter,False,6.6,863
False,/h7r6LZ32dgLwtwSW3CxoWIYD9pr.jpg,"[27, 14]",426063,en,Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",2237.349,/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg,2024-12-25,Nosferatu,False,6.602,1589
False,/jucn2CMjsraKDGUJ9eAfm3ZqvMI.jpg,"[16, 12, 10751, 35, 9648]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",1876.425,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,2024-11-21,Moana 2,False,7.1,940
False,/hAQnXxOwCjgYcKRgTdYPRC8neqL.jpg,"[28, 18]",811941,te,దేవర: Part 1,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",1350.04,/A9ENz6d4lC3UYOX8Z1gJwDEo1sM.jpg,2024-09-26,Devara: Part 1,False,7.063,48
False,/oHPoF0Gzu8xwK4CtdXDaWdcuZxZ.jpg,"[12, 10751, 16]",762509,en,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",1649.483,/jbOSUAWMGzGL1L4EaUF8K6zYFo7.jpg,2024-12-18,Mufasa: The Lion King,False,7.5,896
False,/cA88pwGnHa64BBcU3R1oCcJH9Qc.jpg,"[28, 27, 53]",970450,en,Werewolves,"A year after a supermoon’s light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes.",1228.187,/cRTctVlwvMdXVsaYbX5qfkittDP.jpg,2024-12-04,Werewolves,False,6.277,240
False,/euYIwmwkmz95mnXvufEmbL6ovhZ.jpg,"[28, 12, 18]",558449,en,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",1291.876,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,2024-11-05,Gladiator II,False,6.8,2542
False,/vZG7PrX9HmdgL5qfZRjhJsFYEIA.jpg,"[28, 878, 12]",912649,en,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",1244.876,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,2024-10-22,Venom: The Last Dance,False,6.769,2564
False,/uOQgMhYyu7dkXdHoRkCqZIF32M6.jpg,"[28, 12]",1241320,ja,キングダム　大将軍の帰還,"Depicts a continuation of the ""Battle of Mayang"", an all-out war against the neighboring country Zhao that Shin and Wang Ki fought in in the previous work ""Flame of Fate"".",950.252,/qZKKwXyZ92K0mIRpf2FbCkQa7oO.jpg,2024-07-12,Kingdom IV: Return of the Great General,False,7.309,68
False,/3WnoZw50qIfXsFnKr0LddEh5Jnf.jpg,"[10752, 36, 18]",1222248,no,Nr. 24,"On the brink of the Second World War, a young Norwegian man's drive to resist the Nazis sets a new course for his future – and the future of his country.",845.59,/rzsmKSFEsEWBLbJ968abffnfYZ7.jpg,2024-10-30,Number 24,False,7.3,166
False,/5o4iH2N4jX3HmNCBbC6rJqxtWj2.jpg,"[27, 53]",1222064,en,River of Blood,Four kayakers take the wrong river into a jungle inhabited by a tribe of merciless cannibals.,803.578,/7lkm4eAvHy1uCs48GEwMxgwNdgd.jpg,2024-08-29,River of Blood,False,6.0,18
False,/rOmUuQEZfPXglwFs5ELLLUDKodL.jpg,"[28, 14, 35]",845781,en,Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",783.352,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,2024-10-31,Red One,False,7.12,2180
False,/i3e7uwZOXks3PMvTOf4yQXbNxkI.jpg,"[28, 53]",1081012,en,Aftermath,"A returning war veteran, stricken with PTSD, gets trapped with his teenage sister on Boston's Tobin Memorial Bridge when a heavily armed group of ex-military revolutionaries take everyone hostage.",728.835,/gEHIVyJB9VWLF3cuJOpYjJjegd1.jpg,2024-09-27,Aftermath,False,6.3,62
False,/ie8OSgIHEl6yQiGJ90dsyBWOpQA.jpg,"[16, 14, 28, 12]",839033,en,The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",777.583,/cXzCOx1hUuU9CfmiEv6rXjb6EqU.jpg,2024-12-05,The Lord of the Rings: The War of the Rohirrim,False,6.566,371
False,/7h6TqPB3ESmjuVbxCxAeB1c9OB1.jpg,"[27, 878]",933260,en,The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",878.274,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,2024-09-07,The Substance,False,7.133,3466
False,/au3o84ub27qTZiMiEc9UYzN74V3.jpg,"[28, 878, 53]",1035048,en,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,701.248,/tnfc0NJ3BzhJrGJhkkEd6MHBdq5.jpg,2024-11-07,Elevation,False,6.246,378
False,/i3CAo9UMGsvlU9k3Svd63rRDeZx.jpg,"[16, 18, 35]",1064486,en,Memoir of a Snail,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",623.409,/lWh5OlerPR1c1cfn1ZLq0lpqFds.jpg,2024-10-17,Memoir of a Snail,False,7.697,109
False,/b3mdmjYTEL70j7nuXATUAD9qgu4.jpg,"[16, 14, 12]",823219,lv,Straume,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",658.734,/imKSymKBK7o73sajciEmndJoVkR.jpg,2024-08-29,Flow,False,8.402,929
False,/uKb22E0nlzr914bA9KyA5CVCOlV.jpg,"[18, 10749, 14]",402431,en,Wicked,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",772.902,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,2024-11-20,Wicked,False,6.884,1531
False,/kylozAI9Rf1pp7pZ8nFPK4s1s5n.jpg,"[28, 12, 14, 16]",1357633,ja,俺だけレベルアップな件 -ReAwakening-,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",622.43,/uzHMp5heVLR68kbbUEXFPsmxYsM.jpg,2024-11-26,Solo Leveling -ReAwakening-,False,6.977,87
False,/k24eZq5I3jyz4htPkZCRpnUmBzE.jpg,"[10749, 18]",1156593,es,Culpa tuya,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,714.011,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg,2024-12-26,Your Fault,False,7.2,944
False,/1pmXyN3sKeYoUhu5VBZiDU4BX21.jpg,"[16, 28, 878, 10751]",1184918,en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",683.475,/9w0Vh9eizfBXrcomiaFWTIPdboo.jpg,2024-09-12,The Wild Robot,False,8.359,4124
False,/hSuDBuToaEAF4NhHR4haZPw3xN2.jpg,[28],1075789,en,The Ballad of Davy Crockett,"In 1815, an American Legend, whose wife has fallen deathly ill, leaving his young children to survive on their own, must fight his way back to them across the many perils found in the Savage Lands of the wild frontier.",540.954,/r3eg88OcnLcCihQdaW3IAOlui4F.jpg,2024-03-08,The Ballad of Davy Crockett,False,4.0,8
False,/dWkdmxIkH9y23s9v1PjQFhTGIwo.jpg,"[28, 18, 53, 10752]",1043905,en,Dirty Angels,"During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",552.592,/3O3qSGmjRGc10hMwFul8WDxKE5t.jpg,2024-12-11,Dirty Angels,False,6.289,168
False,/bx6LoGl8L3hwgOCoD2H8JgIu7uC.jpg,"[28, 18]",1235623,zh,目中无人 2,"The blind swordsman, skilled in martial arts, named Cheng Xiazi (Xie Miao), accidentally saves Zhang Xiaoyu (Yang Enyou), who has suffered from the destruction of his family. Under the persuasion of the orphan Xiaoyu, Cheng reluctantly keeps him by his side and teaches him skills. Xiaoyu also waits for the opportunity to seek revenge.",513.697,/lxGkinl8TwFdIUffEdTOw95lKL7.jpg,2024-07-21,Eye for an Eye 2,False,7.176,17
False,/by8z9Fe8y7p4jo2YlW2SZDnptyT.jpg,"[28, 35, 878]",533535,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",532.349,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-24,Deadpool & Wolverine,False,7.632,6522
False,/i3CAo9UMGsvlU9k3Svd63rRDeZx.jpg,"[16, 18, 35]",1064486,en,Memoir of a Snail,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",623.409,/lWh5OlerPR1c1cfn1ZLq0lpqFds.jpg,2024-10-17,Memoir of a Snail,False,7.697,109
False,/uFMIiNYUDHzo7YGSg5UUR7VLNma.jpg,[35],1278099,es,El candidato honesto,"A former idealistic leader turned corrupt politician is cursed by his grandmother on the eve of the presidential election, forcing him to be honest. Can he win without lies and what will be the conditions?",500.81,/hmV5HPkbQuzgPo11Xm70CMQV3iZ.jpg,2024-08-08,El Candidato Honesto,False,6.889,81
False,/7bIWKyWdT04HTY3PqLETT8CH7jo.jpg,"[28, 80, 53]",974453,en,Absolution,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",519.033,/2MeQG5Vq8rUnRAa463BZe5GNhVk.jpg,2024-10-31,Absolution,False,5.8,283
False,/rhc8Mtuo3Kh8CndnlmTNMF8o9pU.jpg,"[53, 28]",1005331,en,Carry-On,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,482.272,/sjMN7DRi4sGiledsmllEw5HJjPy.jpg,2024-12-05,Carry-On,False,6.925,1782
False,/4cp40IyTpFfsT2IKpl0YlUkMBIR.jpg,"[10749, 35, 18]",1064213,en,Anora,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",569.579,/7MrgIUeq0DD2iF7GR6wqJfYZNeC.jpg,2024-10-14,Anora,False,7.0,851
False,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,"[16, 10751, 35, 878]",519182,en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",468.182,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,2024-06-20,Despicable Me 4,False,7.067,2472
False,,"[10749, 18]",1252309,es,Pídeme lo que quieras,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",457.057,/76qnVxU2rPdVvipBN3DPQH6fVYB.jpg,2024-11-29,Ask Me What You Want,False,6.385,52
False,/iR79ciqhtaZ9BE7YFA1HpCHQgX4.jpg,"[27, 9648]",1100782,en,Smile 2,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",405.984,/ht8Uv9QPv9y7K0RvUyJIaXOZTfd.jpg,2024-10-16,Smile 2,False,6.568,1228
False,/rZmijM6poWf1nNItkZZ8H3gMkX7.jpg,"[16, 12, 28, 14]",1147416,fr,"Miraculous World : Londres, la course contre le temps","To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",414.152,/6AtoMpHvs9pxd30KsyK8QmJ9W9M.jpg,2024-11-14,"Miraculous World, London: At the Edge of Time",False,7.763,135
False,/lTYGtgDRygku7iiFLWyiEc4wLzz.jpg,"[18, 28, 27]",1118031,es,Apocalipsis Z: el principio del fin,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",405.915,/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg,2024-10-04,Apocalypse Z: The Beginning of the End,False,6.837,877
False,/qJUi08RHf2TVKNvvkhc07MJJiJt.jpg,[28],1397347,en,Saturday Night's Main Event XXXVII,"Undisputed WWE Champion Cody Rhodes will go head-to-head with Kevin Owens as Saturday Night's Main Event returns to NBC. Plus World Tag Team Champion Finn Bálor will face ""The Ring General"" Gunther for the World Heavyweight Title. The Women's World Championship will be on the line when Liv Morgan defends her title against IYO SKY.",376.312,/4wVEOOX8VEGWwEuuIWuN3XT1Avq.jpg,2024-12-14,Saturday Night's Main Event XXXVII,False,6.962,13
False,/2ICMZZVcwboF8Z9V7aaJY3CVh9w.jpg,"[35, 27]",728949,en,Nightbitch,"A woman, thrown into the stay-at-home routine of raising a toddler in the suburbs, slowly embraces the feral power deeply rooted in motherhood, as she becomes increasingly aware of the bizarre and undeniable signs that she may be turning into a dog.",481.393,/h49Pie8gM2jK0UHGFRjfPB3YTd.jpg,2024-12-06,Nightbitch,False,6.1,133
False,/p5ozvmdgsmbWe0H8Xk7Rc8SCwAB.jpg,"[16, 12, 35, 10751]",1022789,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",431.261,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,2024-06-11,Inside Out 2,False,7.6,5422
False,/gb9EbSHduaJqem9qgBBQK2CKnJA.jpg,"[28, 27, 53]",1029235,en,Azrael,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",342.068,/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg,2024-09-27,Azrael,False,6.0,189
False,/eP4RZSHliWu6lPT5WQyHr5ZZKuC.jpg,"[27, 878]",945961,en,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",433.585,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,2024-08-13,Alien: Romulus,False,7.2,3148
False,/A28EE0vgHrB0OdoxWWMfgfyEoYn.jpg,"[80, 53, 28]",1276945,nl,Ferry 2,"After losing his drug empire, Ferry Bouman has found a measure of peace away from Brabant's criminal underworld — until his past catches up to him.",367.281,/8pwdnL3pEISIN1EGmwZzU6hpNVk.jpg,2024-12-19,Ferry 2,False,5.8,94
False,/nJ0MYqTTZg4gk7fgVgIfAWJN4ZQ.jpg,"[27, 9648]",1276210,es,Estación Rocafort,"Laura has recently started working in the Barcelona subway. She has been assigned the old and quiet Rocafort station, but it won't be long before she discovers that this stop harbors a legend that will begin to haunt her: many people have died there in strange circumstances over the years and no one seems to be interested in knowing the truth.",320.273,/fCjSwkDHYHib2jNNyhcuIO8d8jw.jpg,2024-08-30,Last Stop: Rocafort St.,False,5.4,31
False,/ovt5KdS1oNwXkFPsgymhMoKvxKa.jpg,"[16, 35, 10751, 12]",929204,en,Wallace & Gromit: Vengeance Most Fowl,"Gromit’s concern that Wallace is becoming too dependent on his inventions proves justified, when Wallace invents a “smart” gnome that seems to develop a mind of its own. When it emerges that a vengeful figure from the past might be masterminding things, it falls to Gromit to battle sinister forces and save his master… or Wallace may never be able to invent again!",296.223,/6BxK38ehxuX2dJmZIMpJcVNbYks.jpg,2024-12-18,Wallace & Gromit: Vengeance Most Fowl,False,7.7,295
False,/18TSJF1WLA4CkymvVUcKDBwUJ9F.jpg,"[27, 53]",1034541,en,Terrifier 3,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",313.752,/ju10W5gl3PPK3b7TjEmVOZap51I.jpg,2024-10-09,Terrifier 3,False,6.9,1417
False,/u2eA9pqi1q3DvevT7RuDuJHxxBT.jpg,"[18, 53]",974950,fr,Emilia Pérez,"Rita, an underrated lawyer working for a large law firm more interested in getting criminals out of jail than bringing them to justice, is hired by the leader of a criminal organization.",398.385,/7seqaCaaXDNUHOx4DqwpoOH8pPa.jpg,2024-08-21,Emilia Pérez,False,7.5,988
False,/lu4khHVh8ZF9AbaxW26pp4yLubb.jpg,[],1408248,xx,오징어 게임: 벽난로,"Come share a toast in the Front Man's lair — but tread carefully, for you’re playing with fire.",304.37,/wzWcY5MMJaezP4niGmmpdvluvaZ.jpg,2024-12-12,Squid Game: Fireplace,False,6.0,30
False,/zViRwl3ySscZnbXZJ2Q9wq3SeUG.jpg,"[16, 878, 12, 10751]",698687,en,Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",287.04,/iRCgqpdVE4wyLQvGYU3ZP7pAtUc.jpg,2024-08-14,Transformers One,False,8.1,1044
False,/5AsIFZ2AJC7JcGpq40aRPuRuaRc.jpg,[18],1241752,tl,Rita,"Rita, who finds herself alone when husband Ariel works abroad. They both find solace and sexual satisfaction in other people. When Ariel comes back, they both act like nothing happened. But will this keep their marriage from falling apart?",291.48,/grIFQLXXwQmjvYYfXVXCgGTMUWw.jpg,2024-03-22,Rita,False,6.2,8
False,/evFChfYeD2LqobEJf8iQsrYcGTw.jpg,"[28, 80, 53]",1182387,en,Armor,"Armored truck security guard James Brody is working with his son Casey transporting millions of dollars between banks when a team of thieves led by Rook orchestrate a takeover of their truck to seize the riches. Following a violent car chase, Rook soon has the armored truck surrounded and James and Casey find themselves cornered onto a decrepit bridge.",277.582,/pnXLFioDeftqjlCVlRmXvIdMsdP.jpg,2024-10-30,Armor,False,5.452,146
False,/9s9o9RT9Yj6nDuRJjnJm78WFoFl.jpg,"[28, 27, 53, 878]",1051896,en,Arcadian,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",268.491,/spWV1eRzlDxvai8LbxwAWR0Vst4.jpg,2024-04-12,Arcadian,False,6.1,574
False,/cw9qGggHyTsoyQSIRWHrF6DZGeg.jpg,"[27, 53]",978796,en,Bagman,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",260.006,/53IK9rlZJbwFYbNnJZiLq7UWxkT.jpg,2024-09-20,Bagman,False,6.214,185
False,/JtN7Q03S3oq7A4KZ7Z3I7m3osP.jpg,"[28, 35, 80, 53, 12]",573435,en,Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",279.259,/oGythE98MYleE6mZlGs5oBGkux1.jpg,2024-06-05,Bad Boys: Ride or Die,False,7.4,2673
False,/sQbFupSWM9wUdPj96NZNUOFSP5.jpg,"[28, 12, 53]",1000075,fr,Largo Winch: Le prix de l'argent,"Largo Winch, devastated by the kidnapping of his son, realizes that if he finds those responsible for his bankruptcy, maybe he'll see his son again.",283.258,/myS41ZUmFvslkT8LeD2irAKxyrf.jpg,2024-07-31,The Price of Money: A Largo Winch Adventure,False,6.5,136
False,/zGLQmrmIB56kMZPnzqReIOBay1B.jpg,"[28, 35, 80]",507241,en,The Killer's Game,"When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",321.63,/4bKlTeOUr5AKrLky8mwWvlQqyVd.jpg,2024-09-12,The Killer's Game,False,6.5,257
False,/w6MAE6cs8F62iAspnIqwVksAENM.jpg,"[16, 12, 14]",1208491,fr,"Zak & Wowo, la légende de Lendarys","At the heart of an imaginary world populated by fantastical creatures and dangerous monsters, the 13 year-old Zak goes in search of his twin brother Kyle, who has disappeared mysteriously. Equipped with a magical jade stone whose superpowers he doesn't yet know how to control, he is joined by his grandmother NaïNaï and Indiana, a beautiful outlaw who can communicate with the world's fantastical creatures. But he is also flanked by Wowo, formerly a 3 meter-tall furry pachyderm, now turned into a tiny, cute and wacky furball by the magical jade stone.",237.495,/tgOq45Aijeup6mqEmOWGzYabaVQ.jpg,2024-04-25,Zak & Wowo: The Legend of Lendarys,False,6.75,4
False,/66nlC5LDZmDUWONGkUZT2BrOszG.jpg,[18],974576,en,Conclave,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",268.913,/m5x8D0bZ3eKqIVWZ5y7TnZ2oTVg.jpg,2024-10-25,Conclave,False,7.0,1001
False,/xPVhaMMUZq1yclf4kCEYwJ1Cqr6.jpg,"[27, 53]",1100856,ru,Заклятье. Шепот ведьм,"Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers.",221.329,/raDMchyq3dJMqso2TVh75A123Xb.jpg,2024-06-13,Whisper of the Witch,False,6.2,26
False,/lLh39Th5plbrQgbQ4zyIULsd0Pp.jpg,"[28, 12, 878]",823464,en,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",270.262,/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg,2024-03-27,Godzilla x Kong: The New Empire,False,7.1,4011
False,/nxZDr6UZIhgYJev4yUzWTPZXQ3G.jpg,"[18, 36]",1101448,en,Unstoppable,"Unstoppable is the inspiring true story of Anthony Robles who was born with one leg but whose unbreakable resolve empowered him to defy the odds and pursue his dreams. With the unwavering love and support of his devoted mother and the encouragement of his coaches, Anthony fights through adversity to earn a spot on the Arizona State Wrestling team on his quest to become an NCAA Champion.",298.425,/xanYKxuFkDPrMngvm1NSHVGOEjS.jpg,2024-12-06,Unstoppable,False,4.0,100
False,/nGC3ZkXEcjGbqAAonS1xn6gaNpb.jpg,"[35, 18]",1013850,en,A Real Pain,Mismatched cousins David and Benji reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the pair's old tensions resurface against the backdrop of their family history.,290.593,/yaTFjMNh8D78dDHrglivOTv5YOx.jpg,2024-11-01,A Real Pain,False,6.9,299
False,/csQSGH0QU8D3Ov5YLEYuHep8ihA.jpg,"[878, 53, 12, 28]",1196470,fr,Survivre,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,248.527,/59nsfU5hMG3puDZIGzZzJ1yW8FN.jpg,2024-06-19,Survive,False,5.809,118
False,/fyeyxFzZ3qYqDsaMVYF6sq3pp2n.jpg,"[28, 12, 53]",1167271,en,Weekend in Taipei,"A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.",234.579,/qSc0AUvs8mRy00R9y8QYEHWIAQ9.jpg,2024-09-19,Weekend in Taipei,False,6.147,129
False,/awNgj3l5f1X6A0oCBnFl99X2K9R.jpg,"[80, 53, 37]",395817,en,The Thicket,"An innocent young man, Jack, goes on an epic quest to rescue his sister Lula after she has been kidnapped by the violent killer Cut Throat Bill and her gang. To save her, Jack enlists the help of a crafty bounty hunter named Reginald Jones, a grave-digging alcoholic son of an ex-slave, and a street-smart prostitute. The gang tracks Cut Throat Bill into the deadly no-man’s land known as The Big Thicket — a place where blood and chaos reign.",209.157,/ukqWWQrJRgJym6dsTt1x3EwR2Kp.jpg,2024-09-05,The Thicket,False,6.2,54
False,/dGGjuaUR253aAZ2Zhto2Y9TR9l6.jpg,"[16, 9648, 878, 28]",1299652,en,Watchmen: Chapter II,"Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",212.983,/4rBObJFpiWJOG7aIlRrOUniAkBs.jpg,2024-11-25,Watchmen: Chapter II,False,7.4,83
False,/kYgQzzjNis5jJalYtIHgrom0gOx.jpg,"[16, 10751, 14, 28]",1011985,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",205.651,/nqXsAaQsKw2gKpkfhIgjXNDRqg7.jpg,2024-03-02,Kung Fu Panda 4,False,7.1,2916
