adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/uW8FEQaZakman4FeKcwh4q6T31q.jpg,[53],1325922,en,A Killer in the House,"When a psycho killer becomes obsessed with a beautiful girl, he does everything he can to win her over, including killing everybody in his way. This is a study of a psycho killer, his prey, and how far he is willing to go.",2.047,/rRsmghgwpK7hbE91UGnfgZipFvX.jpg,2024-07-03,A Killer in the House,False,3.0,1
False,,"[18, 99]",1229882,en,Roleplay,"College students confront sexual violence on their campus through a transformative theater process. This urgent coming of age story follows young adults grappling with sex, consent, identity, and power on their paths to adulthood.",2.046,/nxRSufHExNJkEBxYviiFtGmtfc4.jpg,2024-03-09,Roleplay,False,0.0,0
False,/3N0BeGlJyJgXYfD9wZzybVOWHlC.jpg,[18],1184583,it,Ennio Doris - C'è anche domani,"The life of Italian businessman Ennio Doris, the founder of Banca Mediolanum.",2.046,/p63YSu2bfZSxcoFJavnikYonK2r.jpg,2024-04-15,Ennio Doris - C'è anche domani,False,7.1,15
False,/mEhxcZ9rDUqpGlAkv9RGOjfNMLD.jpg,"[35, 18]",1371832,en,Shellfish Knish,"Young, Jewish and misunderstood Simon Markowitz gets himself into hot water with his Rabbi when he creates his own recipe for a knish that no one in his family seems intent on eating.",2.045,/A5RwA5gaZzAm9O8nOL3CbhmJq09.jpg,2024-11-06,Shellfish Knish,False,0.0,0
False,/evdawT7yF8WJroOyBZhENkAqkoa.jpg,"[35, 28]",1116141,it,Falla girare 2 - Offline,"Sequel to ""Falla Girare"". An hacker attack has caused the disappearance of the internet and our heroes who brought marijuana back to the world are once again called upon to save it…",2.045,/fR9MI6LjRhnsMZlxKQr5gA933s2.jpg,2024-08-23,Falla girare 2 - Offline,False,5.633,30
False,,[],1320186,en,Yo sentí tu luz atravesarme,"Composed by Tú me hiciste ver el cielo (FidMarseille 2023) and another unpublished exercise with material from that short film, Luis Esgurra Cifuentes delivers a new work entitled Yo sentí tu luz atravesarme. An experience that crystallizes the spirit of «queer» from its formal and philosophical aspect. Through the vast diversity of characters, bodies, substances, resources and formats, the film insists on finding a substance that is, but is not of this world.",2.044,,2024-04-18,Yo sentí tu luz atravesarme,False,0.0,0
False,,[99],1254747,de,Rose,"Old Super 8 films show domestic happiness, the West German economic miracle, an idyllic home, grandmother Rose as a young woman at the centre. They do not show the violence in Rose’s marriage. Or do they?",2.044,/ngeFqjlu53Zhofzp0RX1t6y0fU9.jpg,2024-03-23,Rose,False,0.0,0
False,,"[18, 14, 12, 10749]",1001747,es,En la alcoba del sultán,An early 20th-century sultan is introduced to the cinematograph with the help of a former operator for the Lumiere brothers.,2.044,/27Bckl1iBeplLMxRdsE91vap0Qq.jpg,2024-11-15,Close To The Sultan,False,2.0,1
False,/70IGSaWsOEaN2ReklyppeyDDZwy.jpg,[99],1172091,en,Wilding,"Knepp is a beacon of hope for England’s wildlife. When Isabella and her husband inherited the estate to farm, they recognised how sick the land was. But a groundbreaking radical experiment has been nothing short of transformative. Now it’s a place where mussel-diving pigs, storks and butterflies find sanctuary, and where thriving flora and a vast array of animals have taken back the land. This is a charming, hopeful and necessary story of ecological regeneration.",2.043,/fiVjT0iojVNBL5wj1Peo9ivh7q1.jpg,2024-06-14,Wilding,False,6.7,3
False,/mtMGn22JY4CZEjEx7AMsUQp2RJv.jpg,"[12, 16, 18, 10751]",589018,fr,Sauvages,"In Borneo, near the tropical forest, Kéria rescues a baby orangutang in the palm oil plantation where her father works. Kéria's cousin Selaï comes to live with them seeking refuge from the conflict between his indigenous tribe and the logging companies. Kéria, Selaï and the little orangutang, now named Oshi, will have to fight against their forest’s destruction.",2.043,/qfQbPOHyKi4nkyoOodZoL5bvIja.jpg,2024-10-16,Savages,False,6.9,9
False,,[],1339252,en,Harry,Leo realizes that there is no place like home.,2.042,,2024-01-03,Harry,False,5.69,42
False,,[99],1261120,en,Light of the Setting Sun,A Taiwanese American filmmaker questions her family’s silence around the cycles of violence that have persisted since the Chinese Communist Revolution of 1949.,2.042,/jYWRiutfhdYholhYNNoOCVGMEkl.jpg,2024-04-06,Light of the Setting Sun,False,0.0,0
False,/asYRwcrVxBtp3OUX8i3NOntkyFy.jpg,[18],944368,fr,Le bonheur est pour demain,"Anna, stuck in a relationship with an authoritarian and violent man, falls in love with Claude who is planning a robbery. The robbery goes wrong and Claude ends up in prison.",2.042,/3Qd55l221ri45hbWGfzuA8baG6v.jpg,2024-01-31,Le bonheur est pour demain,False,5.8,7
